family_id_i	family_id_j	weight	domain_id
16	6	1	0
14	16	1	0
10	15	1	0
11	21	1	0
31	8	1	0
15	13	1	0
18	20	1	0
17	20	1	0
20	30	1	0
20	0	1	0
12	0	1	0
22	0	1	0
9	17	1	0
25	17	1	0
0	17	1	0
24	17	1	0
17	9	1	0
17	29	1	0
5	29	1	0
0	2	1	0
0	24	1	0
29	24	1	0
7	25	1	0
7	23	1	0
7	27	1	0
24	12	1	0
24	7	1	0
24	22	1	0
29	22	1	0
29	26	1	0
25	17	1	1
20	17	2	1
25	12	1	1
28	12	1	1
25	7	1	1
24	7	1	1
5	7	1	1
7	25	1	1
17	25	1	1
12	25	1	1
7	24	1	1
7	5	1	1
18	5	1	1
24	0	1	1
32	0	1	1
24	1	1	1
20	15	3	1
20	8	1	1
15	20	1	1
17	20	1	1
18	4	1	1
32	4	1	1
30	28	1	1
12	28	1	1
3	9	1	1
9	3	1	1
28	30	1	1
0	32	1	1
19	32	1	1
4	32	1	1
4	18	1	1
32	19	1	1
20	0	1	2
24	0	1	2
17	0	1	2
20	17	2	2
20	18	1	2
20	30	1	2
20	15	1	2
20	8	1	2
20	21	1	2
20	25	1	2
30	14	1	2
3	4	1	2
19	24	1	2
18	20	1	3
20	0	1	3
29	26	1	3
20	18	1	3
18	29	1	3
0	20	1	3
29	18	1	3
26	29	1	3
29	24	1	3
17	0	1	3
17	7	1	3
