family_i	family_j	weight	domain_id
GUADAGNI	BISCHERI	1	0
FIORAVANTI	GUADAGNI	1	0
DALL ANTELLA	GINORI	1	0
DAVANZATI	ORLANDINI	1	0
VALORI	COCCO-DONATI	1	0
GINORI	DIETISALVI	1	0
GUICCIARDINI	MEDICI	1	0
MEDICI	TORNABUONI	1	0
MEDICI	ALBIZZI	1	0
DA UZZANO	GUASCONI	1	0
RONDINELLI	GUASCONI	1	0
GUASCONI	MEDICI	1	0
GUASCONI	DA UZZANO	1	0
GUASCONI	STROZZI	1	0
ALBIZZI	ALTOVITI	1	0
ALBIZZI	GUASCONI	1	0
ALBIZZI	PERUZZI	1	0
DELLA CASA	ALBIZZI	1	0
CASTELLANI	RONDINELLI	1	0
CASTELLANI	PEPI	1	0
CASTELLANI	SCAMBRILLA	1	0
PERUZZI	GUASCONI	1	0
PERUZZI	DELLA CASA	1	0
PERUZZI	CASTELLANI	1	0
PERUZZI	PANCIATICHI	1	0
BENIZZI	STROZZI	1	0
STROZZI	PERUZZI	1	0
STROZZI	PANCIATICHI	1	0
STROZZI	RUCELLAI	1	0
PANCIATICHI	ALBIZZI	1	0
RONDINELLI	GUASCONI	1	1
CASTELLANI	RONDINELLI	1	1
PERUZZI	CASTELLANI	1	1
MEDICI	GINORI	3	1
GINORI	MEDICI	1	1
GUICCIARDINI	BARONCELLI	1	1
TORNABUONI	SOLOSMEI	1	1
ARDINGHELLI	DA UZZANO	1	1
DA UZZANO	ARDINGHELLI	1	1
SOLOSMEI	TORNABUONI	1	1
SOLOSMEI	DELLA CASA	1	1
RONDINELLI	DELLA CASA	1	1
RONDINELLI	CASTELLANI	1	1
GUASCONI	RONDINELLI	1	1
ALBIZZI	VELLUTI	1	1
DELLA CASA	SOLOSMEI	1	1
DELLA CASA	RONDINELLI	1	1
CASTELLANI	PERUZZI	1	1
LAMBERTESCHI	VELLUTI	1	1
BARONCELLI	GUICCIARDINI	1	1
BARONCELLI	VELLUTI	1	1
VELLUTI	ALBIZZI	1	1
VELLUTI	LAMBERTESCHI	1	1
VELLUTI	BARONCELLI	1	1
GUASCONI	MEDICI	1	1
GUICCIARDINI	BENIZZI	1	1
MEDICI	GUASCONI	2	1
CASTELLANI	BENIZZI	1	1
PERUZZI	ALBIZZI	1	1
BENIZZI	CASTELLANI	1	1
PERUZZI	ALDOBRANDINI	1	1
MEDICI	COCCO-DONATI	1	1
MEDICI	ALBIZZI	1	2
MEDICI	GUASCONI	2	2
MEDICI	GUICCIARDINI	1	2
MEDICI	TORNABUONI	1	2
MEDICI	GINORI	1	2
PERUZZI	ALBIZZI	1	2
MEDICI	COCCO-DONATI	1	2
TORNABUONI	FIORAVANTI	1	2
MEDICI	ORLANDINI	1	2
MEDICI	RONDINELLI	1	2
ARDINGHELLI	BARONCELLI	1	2
GUASCONI	ALBIZZI	1	2
LAMBERTESCHI	PERUZZI	1	2
GUICCIARDINI	MEDICI	1	3
MEDICI	ALBIZZI	1	3
STROZZI	RUCELLAI	1	3
MEDICI	GUICCIARDINI	1	3
GUICCIARDINI	STROZZI	1	3
ALBIZZI	MEDICI	1	3
STROZZI	GUICCIARDINI	1	3
RUCELLAI	STROZZI	1	3
STROZZI	PERUZZI	1	3
GUASCONI	ALBIZZI	1	3
GUASCONI	CASTELLANI	1	3
