family_id	family	party	wealth	year	size	numbers_active_medici	numbers_active_oligarch	numbers_active_neutral	color_r	color_g	color_b	pos_x	pos_y
0	ALBIZZI	OLIGARCH	49988	1314	5	4	12	0	0.72	0.2	0.26	0.494	0.6166
1	ALDOBRANDINI	OLIGARCH	5403	1306	2	0	2	0	0.89	0.1	0.11	0.563	0.9
2	ALTOVITI	OLIGARCH	25874	1321	3	1	5	1	0.81	0.29	0.32	0.6944	0.6514
3	ARDINGHELLI	OLIGARCH	48364	1297	2	1	2	0	0.67	0.23	0.31	0.1352	0.6236
4	BARONCELLI	OLIGARCH	46308	1285	2	0	1	1	0.95	0.55	0.55	0.2088	0.6793
5	BENIZZI	OLIGARCH	13047	1292	2	0	2	1	0.93	0.4	0.41	0.4273	0.7918
6	BISCHERI	OLIGARCH	39365	1341	2	0	1	1	0.95	0.55	0.55	0.9	0.1
7	CASTELLANI	OLIGARCH	37118	1301	3	0	6	1	0.91	0.23	0.24	0.5869	0.7025
8	COCCO-DONATI	MEDICI	12420	1358	3	4	0	0	0.22	0.49	0.72	0.3507	0.3486
9	DA UZZANO	OLIGARCH	48066	1324	2	0	1	1	0.95	0.55	0.55	0.234	0.6034
10	DALL ANTELLA	MEDICI	18957	1291	2	2	2	0	0.55	0.3	0.42	0.173	0.2727
11	DAVANZATI	MEDICI	19887	1320	1	2	0	0	0.22	0.49	0.72	0.4648	0.1798
12	DELLA CASA	OLIGARCH	46875	1333	3	1	1	2	0.78	0.65	0.71	0.6161	0.5902
13	DIETISALVI	MEDICI	13137	1340	2	3	0	0	0.22	0.49	0.72	0.1	0.3718
14	FIORAVANTI	OLIGARCH	19225	1303	3	1	0	2	0.74	0.83	0.91	0.6891	0.2673
15	GINORI	MEDICI	21167	1344	2	11	0	0	0.22	0.49	0.72	0.2619	0.3966
16	GUADAGNI	OLIGARCH	25179	1289	1	0	5	0	0.89	0.1	0.11	0.7978	0.1829
17	GUASCONI	OLIGARCH	85300	1290	4	5	9	0	0.65	0.24	0.33	0.4148	0.6171
18	GUICCIARDINI	MEDICI	40617	1289	5	6	0	0	0.22	0.49	0.72	0.3239	0.5705
19	LAMBERTESCHI	OLIGARCH	32388	1330	2	0	3	0	0.89	0.1	0.11	0.4012	0.8667
20	MEDICI	MEDICI	82702	1318	3	7	0	0	0.22	0.49	0.72	0.4224	0.4609
21	ORLANDINI	MEDICI	8158	1407	2	2	0	0	0.22	0.49	0.72	0.4595	0.3285
22	PANCIATICHI	OLIGARCH	64626	1283	3	0	3	0	0.89	0.1	0.11	0.4966	0.7863
23	PEPI	OLIGARCH	14367	1360	3	0	2	1	0.93	0.4	0.41	0.7527	0.742
24	PERUZZI	OLIGARCH	50125	1282	3	0	10	1	0.9	0.18	0.19	0.5216	0.705
25	RONDINELLI	OLIGARCH	14529	1299	3	0	5	1	0.91	0.25	0.26	0.5179	0.5306
26	RUCELLAI	OLIGARCH	31297	1308	3	0	2	2	0.95	0.55	0.55	0.2751	0.8899
27	SCAMBRILLA	OLIGARCH	19640	1382	2	0	2	1	0.93	0.4	0.41	0.6811	0.8404
28	SOLOSMEI	OLIGARCH	5757	1364	1	0	2	0	0.89	0.1	0.11	0.697	0.464
29	STROZZI	OLIGARCH	135765	1305	3	1	4	1	0.8	0.32	0.36	0.3693	0.7474
30	TORNABUONI	MEDICI	42840	1303	7	8	1	1	0.36	0.51	0.69	0.5776	0.3749
31	VALORI	MEDICI	18921	1334	2	2	0	0	0.22	0.49	0.72	0.2897	0.196
32	VELLUTI	OLIGARCH	14054	1283	2	1	2	0	0.67	0.23	0.31	0.3149	0.7474
