author_id	author
0	HANIFAN,_L_J
1	YULE,_G_U
2	KERMACK,_W_O
3	MCKENDRICK,_A_G
4	ECKART,_CARL
5	YOUNG,_GALE
6	COASE,_R_H
7	JENNINGS,_H_H
8	KENDALL,_M_G
9	MORENO,_JOSE
10	WIRTH,_LOUIS
11	GROSS,_NEAL
12	RYAN,_BRYCE_(N/A)
13	HAYEK,_F_A
14	WILCOXON,_F
15	HEIDER,_FRITZ
16	BAVELAS,_ALEX
17	SHANNON,_C_E
18	LUCE,_R_DUNCAN
19	PERRY,_A_D
20	ALCHIAN,_ARMEN
21	FESTINGER,_LEON
22	NASH,_J_F
23	CRONBACH,_LEE
24	LEAVITT,_H_J
25	MONRO,_S
26	NASH,_J
27	ROBBINS,_H
28	KATZ,_LEO_(N/A)
29	METROPOLIS,_N
30	ROSENBLUTH,_A_W
31	ROSENBLUTH,_M_N
32	TELLER,_A_H
33	TELLER,_E
34	BARNES,_J_A
35	COOK,_WALTER
36	FLANAGAN,_J_C
37	MEDLEY,_DONALD
38	SHAW,_MARVIN_E
39	BOTT,_ELIZABETH
40	GUETZKOW,_HAROLD
41	HILLERY,_GEORGE
42	SIMON,_HERBERT
43	CARTWRIGHT,_D
44	FRENCH,_J_R_P
45	HARARY,_F
46	MILLER,_G_A
47	COLEMAN,_J
48	JAYNES,_E_T
49	KATZ,_ELIHU
50	MENZEL,_H
51	MERTON,_R_K
52	HOMANS,_G_C
53	JOURARD,_S_M
54	LASAKOW,_P
55	CAMPBELL,_D_T
56	FISKE,_D_W
57	GILBERT,_E_N
58	PROCTOR,_C_H
59	COHEN,_J
60	CROWNE,_D_P
61	ERDOS,_P
62	GOULDNER,_A_W
63	HAMILTON,_M_(N/A)_(SPE)
64	LITWAK,_E
65	MARLOWE,_D
66	RENYI,_A
67	BECK,_A_T
68	ERBAUGH,_J
69	GOODMAN,_LISA
70	HAVIGHURST,_R_J
71	HORVATH,_W_J
72	LEVINE,_S
73	MENDELSOHN,_M
74	MOCK,_J
75	NEUGARTEN,_B_L
76	RAPOPORT,_AMNON
77	SCHULTZ,_T_W
78	TOBIN,_S_S
79	WALTERS,_A_A
80	WARD,_C_H
81	WHITE,_P_E
82	WRONG,_D_H
83	ARROW,_K_J
84	BECKER,_G_S
85	EMERSON,_R_M
86	FLOYD,_R_W
87	GALE,_DOUGLAS
88	GORHAM,_D_R
89	OVERALL,_J_E
90	SHAPLEY,_L_S
91	SJAASTAD,_L_A
92	ALEXANDER,_C_N
93	DUNPHY,_D_C
94	FORD,_A_B
95	HAMMER,_M
96	JACKSON,_B_A
97	JAFFE,_M_W
98	KATZ,_S
99	KESSLER,_M_M
100	MACAULAY,_S
101	MOSKOWITZ,_R_W
102	SLATER,_P_E
103	WARD,_J_H
104	BRETON,_R
105	DALEY,_D_J
106	HAMILTON,_W_D
107	KENDALL,_D_G
108	KRUSKAL,_J_B
109	MACDONALD,_J_S
110	MACDONALD,_L_D
111	BEAUCHAMP,_M_A
112	BUCHANAN,_J_M
113	GUTKIND,_P_C_W
114	HUBBELL,_C_H
115	PITTS,_F_R
116	PRICE,_D_J_D
117	ZADEH,_L_A
118	ALDOUS,_J
119	ASH,_R
120	BEAVER,_DONALD
121	BRESLAU,_N
122	KADUSHIN,_CHARLES
123	LEE,_E_S_(PENN_UNIV)_(ECON_SOC)
124	REES,_A
125	ROSOW,_I
126	ROTTER,_J_B
127	SABIDUSSI,_G
128	STRAUS,_M_A
129	ZALD,_M_N
130	ADAMS,_B_N
131	BESHERS,_J_M
132	BROWN,_C_HENDRICKS
133	DAVIS,_J_A
134	HOLMES,_T_H
135	JOHNSON,_S_C
136	LAUMANN,_EDWARD
137	LAWRENCE,_P_R
138	LORSCH,_J_W
139	MANTEL,_N
140	MILGRAM,_S
141	RAHE,_R_H
142	TILLY,_C_(TORONTO_UNIV)_(ECON_SOC)
143	TURNER,_C
144	CONWAY,_M_E
145	GARBETT,_G_K
146	HARDIN,_G
147	HAVEN,_C
148	KAIN,_J_F
149	LOWENTHAL,_M_F
150	MULLINS,_N_C
151	ALLEN,_T_J
152	ARNSTEIN,_S_R
153	BASS,_F_M
154	BLOOD,_R_O
155	BRODY,_E_M
156	COHEN,_S_I
157	CRANE,_D
158	DAFERMOS,_S_C
159	KAUFFMAN,_S_A
160	LAWTON,_M_P
161	RUEVENI,_U
162	SCHELLING,_T_C
163	SHEAFOR,_B
164	SPARROW,_F_T
165	SPECK,_R_V
166	STEBBINS,_R_A
167	SZELENYI,_I
168	TODARO,_M_P
169	TRAVERS,_J
170	WEISS,_R_S
171	WOOD,_V
172	WYLIE,_M_L
173	AKERLOF,_G_A
174	ARONSON,_D_R
175	BLOOM,_B_H
176	CARROLL,_J_D
177	CASH,_H_R
178	CHANG,_J_J
179	CHRISMAN,_N_J
180	DOWNS,_T_D
181	GROTZ,_R_C
182	HOLLAND,_P_W
183	JACOBSON,_D
184	KORTE,_C
185	LEINHARDT,_S
186	TOOMEY,_D_M
187	HICKSON,_D_J
188	HININGS,_C_R
189	LEE,_C_A
190	PENNINGS,_J_M
191	RAND,_W_M
192	SCHNECK,_R_E
