publication_id	author_id
0	0
1	1
2	2
2	3
3	4
3	5
4	6
5	8
6	7
6	9
7	10
8	11
8	12
9	13
10	14
11	15
12	16
13	17
14	17
15	18
15	19
16	20
17	16
18	21
19	18
20	22
21	23
22	24
23	26
24	25
24	27
25	28
26	29
26	30
26	31
26	32
26	33
27	34
28	35
28	37
29	21
30	36
31	38
32	39
33	40
33	42
34	41
35	42
36	42
37	43
37	45
38	44
39	46
40	47
40	49
40	50
41	48
42	49
43	51
44	52
45	53
45	54
46	55
46	56
47	57
48	28
48	58
49	6
50	59
51	60
51	65
52	61
52	66
53	62
54	63
55	64
56	67
56	68
56	73
56	74
56	80
57	69
58	72
58	81
59	70
59	75
59	78
60	71
60	76
61	77
62	79
63	82
64	83
65	84
66	85
67	86
68	87
68	90
69	88
69	89
70	91
71	92
72	93
73	95
74	94
74	96
74	97
74	98
74	101
75	99
76	100
77	102
78	103
79	104
80	105
80	107
81	106
82	108
83	109
83	110
84	38
85	111
86	112
87	113
88	114
89	115
90	116
91	117
92	118
92	128
93	122
94	123
95	116
95	120
96	124
97	121
97	125
98	126
99	127
100	119
100	129
101	130
102	131
102	136
103	133
104	134
104	141
105	135
106	137
106	138
107	139
108	140
109	132
109	142
110	143
111	144
112	145
113	146
114	148
115	147
115	149
116	51
117	150
118	151
118	156
119	152
120	34
121	153
122	154
123	157
124	158
124	164
125	159
126	155
126	160
127	160
128	64
128	167
129	162
130	161
130	165
131	166
132	168
133	140
133	169
134	170
135	163
135	171
135	172
136	173
137	174
138	174
139	175
140	176
140	178
141	179
142	133
143	182
143	185
144	183
145	98
145	177
145	180
145	181
146	140
146	184
147	186
148	187
148	188
148	189
148	190
148	192
149	182
149	185
150	191
151	162
152	186
153	193
154	20
154	209
155	194
156	198
157	199
158	197
158	200
158	230
159	204
160	205
160	221
160	224
161	206
162	72
162	207
162	219
163	208
163	210
163	218
164	212
165	213
166	214
167	195
167	216
167	225
168	217
169	211
169	220
170	196
170	201
170	222
171	203
171	215
171	223
172	226
173	227
174	228
175	202
175	229
176	231
177	232
177	251
178	233
179	234
180	235
180	248
181	236
181	247
182	222
182	237
183	238
183	260
184	239
185	240
185	264
186	241
186	265
187	242
188	243
189	244
190	245
191	182
191	185
192	136
192	252
193	249
194	250
195	254
195	263
196	162
197	255
198	256
199	253
199	257
200	258
201	259
202	261
203	246
203	262
204	266
205	267
206	268
207	269
208	270
209	203
210	271
211	273
212	274
213	272
213	275
213	282
213	289
213	296
214	276
215	277
216	279
216	281
217	283
217	284
218	285
219	286
219	287
220	288
221	290
222	280
222	291
222	292
223	256
223	278
224	293
225	294
226	295
227	246
227	262
228	297
229	231
230	299
231	300
232	268
233	235
234	235
234	269
234	298
235	200
235	313
235	320
236	301
236	318
237	304
238	305
239	306
240	307
240	308
240	319
241	310
242	311
243	314
243	317
244	315
244	326
245	316
246	160
247	302
247	303
247	309
247	321
247	328
248	322
249	323
249	327
249	329
250	324
251	312
251	325
252	122
252	231
253	332
254	235
254	374
255	336
256	337
257	203
258	338
259	339
260	330
260	334
260	341
260	343
260	344
260	353
261	85
262	342
263	244
264	346
265	347
266	348
266	366
267	350
267	355
268	98
268	331
269	333
269	351
270	345
270	356
271	349
271	357
272	358
273	360
274	361
275	226
275	359
276	222
276	362
277	335
277	363
278	116
279	364
279	368
280	365
281	324
282	367
283	369
284	370
285	340
285	352
285	371
286	354
286	372
287	373
288	235
288	269
288	374
289	375
289	406
290	376
291	377
292	378
293	337
294	380
295	381
296	382
296	399
297	383
297	397
297	412
298	275
298	379
299	384
299	388
300	385
300	410
301	387
302	386
302	389
303	392
304	182
304	185
305	182
305	185
306	393
307	394
307	407
308	315
308	418
309	396
309	398
310	185
311	129
311	402
312	403
312	411
313	150
313	390
313	391
313	395
314	404
314	425
315	405
315	424
316	413
317	415
318	416
319	262
320	419
321	420
322	401
322	417
322	421
323	422
324	400
324	408
324	409
324	414
324	423
325	426
326	427
327	231
327	474
328	428
328	460
328	496
328	497
329	235
329	248
329	298
330	430
331	431
331	434
332	337
333	436
333	494
334	85
334	381
335	437
336	439
337	429
337	440
337	441
337	466
338	443
339	444
339	457
340	387
341	448
342	438
342	451
343	433
343	438
343	451
343	481
343	485
344	453
345	454
346	455
347	244
348	457
349	95
349	456
349	470
350	458
351	392
351	442
351	472
351	482
352	393
353	461
353	468
354	464
355	464
356	333
356	351
357	467
358	136
358	450
358	471
359	469
360	306
360	473
361	446
361	475
361	500
362	477
362	489
363	449
363	479
364	465
364	480
365	445
365	478
365	484
366	486
367	226
367	487
368	462
368	488
368	491
369	447
369	490
370	492
371	493
372	432
372	435
372	452
372	494
373	463
373	495
374	498
375	499
376	171
376	483
377	459
377	476
377	501
378	502
378	533
378	535
378	549
379	503
379	542
380	504
380	527
380	553
380	559
381	505
381	558
382	506
383	269
383	520
384	508
385	510
385	536
386	513
387	507
387	514
388	515
388	522
389	436
389	494
390	436
390	494
391	516
392	335
392	363
392	517
393	519
394	523
395	387
396	449
396	509
396	545
396	556
397	524
398	525
399	528
400	246
400	262
401	529
402	530
402	561
403	512
403	531
403	548
404	333
404	351
405	532
406	539
406	543
407	521
407	534
407	538
407	552
408	511
408	541
409	544
410	546
411	547
412	321
412	526
412	540
413	115
414	447
414	490
415	550
416	551
417	551
418	554
419	395
419	555
420	128
421	557
422	457
422	560
423	562
424	264
425	264
425	537
426	563
427	518
427	564
428	567
429	568
430	569
430	570
431	333
431	351
431	602
432	235
432	298
433	571
434	337
435	337
436	574
437	576
438	577
438	583
439	387
440	387
440	593
440	599
441	451
441	604
442	392
442	442
442	572
442	603
443	525
444	44
444	581
444	582
445	584
446	585
447	578
447	579
447	586
447	597
448	588
449	587
449	589
450	591
450	609
451	592
452	547
453	479
453	590
454	594
455	600
456	601
457	478
457	484
457	573
458	605
459	265
459	575
459	606
460	580
460	607
461	566
461	608
462	416
462	530
463	596
463	610
464	611
465	612
466	613
467	595
467	614
468	615
469	565
469	598
469	616
470	231
471	106
471	619
472	621
472	649
473	622
473	680
473	685
474	430
475	623
475	669
475	678
475	695
476	624
476	701
477	625
477	708
478	626
479	155
480	630
481	436
481	494
482	436
482	494
483	516
484	631
485	632
486	636
487	637
487	689
488	638
489	639
490	641
490	659
491	642
492	448
493	95
494	392
495	182
495	185
496	646
496	650
497	321
497	540
497	651
498	627
498	653
498	709
499	629
499	654
500	618
500	620
500	655
500	666
500	697
501	644
501	657
502	645
502	658
503	660
504	521
504	662
504	700
505	521
505	663
505	700
506	382
506	521
506	663
507	436
507	640
507	656
507	665
508	321
508	526
508	540
509	471
510	667
510	674
510	676
510	683
510	692
511	617
511	668
511	704
512	671
512	687
513	672
514	628
514	664
514	675
515	321
515	677
516	477
516	661
516	670
516	673
517	679
518	633
518	647
518	681
518	682
519	643
519	648
519	688
520	690
521	436
521	494
522	635
522	684
522	691
523	652
523	693
524	694
524	696
524	698
525	699
526	416
526	686
527	702
527	705
528	706
529	321
529	707
530	374
531	710
532	563
533	634
533	703
533	711
534	712
535	713
535	786
536	376
537	716
538	333
538	351
538	602
539	506
540	717
541	718
542	719
542	746
542	789
543	235
543	248
544	720
544	772
545	721
545	728
545	729
545	751
545	752
545	774
546	722
547	478
547	723
548	724
548	754
549	725
549	740
549	773
550	727
551	730
551	731
551	734
552	732
553	733
554	735
555	737
556	739
557	639
558	306
559	741
559	766
559	793
560	448
561	742
562	715
562	743
562	780
563	744
563	768
564	95
564	456
564	771
565	745
566	747
567	581
567	761
567	775
568	748
568	795
569	749
570	750
570	755
571	530
572	151
572	530
573	757
573	777
574	758
575	759
576	760
576	783
577	762
578	591
579	764
579	781
580	765
581	767
582	769
583	770
584	738
584	776
585	736
585	778
586	763
586	779
587	685
587	753
588	782
589	756
589	784
589	785
590	726
590	787
591	788
592	790
593	790
594	791
595	792
596	714
596	794
597	799
598	800
599	622
599	798
600	505
601	806
602	807
602	901
603	808
603	882
604	717
605	215
605	810
605	836
605	842
605	844
605	852
605	889
605	895
605	902
606	812
607	724
607	804
607	819
607	899
608	813
609	814
610	817
610	845
611	730
611	734
612	803
612	820
612	841
612	877
612	883
613	275
613	866
614	823
614	875
615	734
616	824
617	825
618	816
618	826
619	828
620	829
621	737
622	350
622	576
623	805
623	818
623	832
624	306
624	870
625	833
626	834
626	843
627	386
627	389
627	815
628	835
628	862
629	838
630	646
630	650
630	894
631	840
632	95
633	525
633	822
634	182
634	185
634	856
635	848
636	802
636	849
637	851
638	749
638	839
638	847
639	394
640	629
640	654
641	122
642	837
642	854
642	900
643	855
644	857
645	861
