publication_id	word_id
0	0
0	1
7	2
8	0
12	3
13	4
14	4
15	3
17	6
18	8
18	9
19	3
19	5
19	7
19	10
22	6
22	11
23	12
24	13
25	10
29	16
30	14
31	3
31	15
32	17
34	0
36	18
37	20
38	19
40	21
43	22
44	24
45	23
46	25
47	26
49	31
52	26
53	30
55	27
55	28
55	29
57	35
58	33
59	34
60	36
61	32
62	31
63	37
65	32
67	40
69	38
70	39
71	44
72	42
72	43
72	45
75	41
79	48
79	49
80	52
81	53
82	50
83	46
83	51
84	47
85	54
88	5
92	17
93	56
93	59
94	61
95	55
95	58
96	57
99	54
100	60
102	64
102	66
103	20
106	62
108	65
109	63
110	17
112	67
113	71
115	69
116	70
117	68
118	75
118	77
119	72
120	7
120	73
120	74
122	63
122	82
123	43
123	58
126	76
126	80
128	3
128	56
130	79
132	78
133	65
134	81
135	34
136	86
140	50
143	44
144	84
144	85
144	87
146	65
146	83
148	88
149	15
149	91
150	89
152	17
152	92
153	90
155	100
156	5
157	108
159	105
159	109
160	98
160	104
162	97
162	101
164	94
164	107
166	96
167	34
167	93
167	106
169	110
171	102
172	95
174	5
174	10
174	99
174	103
176	5
176	10
177	113
178	10
180	115
181	5
181	130
184	128
184	132
186	123
186	125
187	124
188	7
189	110
190	8
190	122
190	131
191	129
192	0
193	116
193	120
193	127
194	119
196	117
197	126
198	114
199	111
200	118
201	121
203	112
214	7
215	136
216	133
217	137
219	54
220	54
222	134
222	138
224	43
228	135
231	142
233	140
233	143
234	50
234	146
235	145
236	148
238	139
238	147
241	51
241	144
243	150
244	141
247	63
249	149
252	59
252	176
253	56
254	43
254	164
254	170
257	172
258	177
261	173
262	156
263	165
264	63
264	167
265	43
266	169
267	151
267	166
269	160
269	175
270	152
271	56
271	155
273	7
274	163
275	161
275	162
276	171
277	136
278	153
278	158
281	85
282	116
282	159
284	178
286	168
286	174
287	157
288	43
288	154
288	164
289	190
289	194
290	206
291	43
293	164
293	198
293	204
294	42
295	188
296	177
298	182
298	183
298	184
300	195
301	54
301	180
302	196
304	186
305	43
307	197
308	141
308	189
310	202
311	199
311	201
312	192
313	3
314	21
315	0
315	181
315	193
316	99
317	191
318	200
320	179
322	203
323	185
323	205
325	15
325	75
326	187
327	59
328	177
329	154
331	211
332	27
332	231
334	213
335	224
335	234
336	57
336	230
338	177
339	136
341	43
342	0
342	208
342	222
343	235
344	177
345	220
346	218
347	209
347	233
348	214
352	215
352	218
353	137
354	207
354	219
354	227
355	207
356	226
357	232
358	162
358	210
359	225
360	223
363	63
363	177
365	221
366	231
367	228
369	5
372	223
373	212
373	216
374	229
376	63
376	136
377	217
378	256
379	249
380	10
380	250
383	15
383	193
383	257
385	261
387	248
388	253
388	254
389	85
389	236
390	243
392	34
392	247
392	255
394	0
395	54
396	177
399	251
401	246
402	6
403	28
403	239
404	160
404	175
405	259
406	241
406	252
407	177
407	259
408	146
409	5
410	43
410	245
411	104
413	262
414	146
416	258
418	265
419	164
419	260
419	264
419	266
420	240
421	229
422	136
423	87
423	237
423	242
424	238
425	0
425	51
425	238
426	242
426	263
427	244
428	208
429	56
431	5
431	160
431	175
431	268
432	43
434	193
435	204
436	280
437	267
437	284
439	281
440	54
441	51
441	208
441	269
441	278
442	128
442	255
443	274
444	177
445	277
446	104
446	283
447	34
448	270
449	273
450	177
451	172
453	282
457	272
459	201
460	146
461	271
464	275
464	276
464	279
467	49
470	3
470	15
471	292
472	255
473	177
473	290
474	177
475	221
476	35
476	287
477	54
477	104
477	245
479	80
480	291
482	81
482	147
483	177
483	285
485	177
486	305
487	146
487	302
488	43
489	311
490	314
491	229
492	300
492	306
493	177
494	128
495	185
496	297
496	308
497	309
499	288
499	293
500	246
504	310
504	312
504	313
505	310
505	312
506	177
509	289
510	177
511	177
511	193
511	304
512	295
512	296
514	177
519	136
521	301
522	298
524	294
525	177
525	304
526	286
527	187
527	203
528	80
528	299
528	307
531	177
531	303
532	315
533	177
534	229
535	177
536	323
537	128
538	160
538	175
539	136
539	316
540	0
540	177
541	177
542	317
542	331
542	338
543	43
543	324
543	326
543	327
544	333
546	308
547	136
549	177
551	335
552	220
553	104
553	318
553	322
554	337
558	56
560	75
560	104
560	336
561	203
561	321
563	54
567	128
569	332
570	193
571	329
572	6
575	146
575	328
576	110
577	172
577	320
579	330
581	325
583	177
584	47
585	218
586	229
587	177
588	43
